onset,offset,duration,chord,quality,confidence
2.3146666666666667,2.8586666666666667,0.544,Cm,min,0.8674356041824739
2.8586666666666667,3.424,0.5653333333333332,Dm7,min7,0.6524529587477446
3.424,3.989333333333333,0.5653333333333332,Cm,min,0.8035073683195706
3.989333333333333,4.544,0.5546666666666664,Cm7,min7,0.7764491736888885
4.544,5.12,0.5760000000000005,Eb,maj,0.7174962507569761
5.12,5.728,0.6079999999999997,Cm7,min7,0.7526686266064644
5.728,6.282666666666667,0.5546666666666669,C7,dom7,0.7981285229325294
6.282666666666667,7.402666666666667,1.12,Ebmaj7,maj7,0.8630956523120403
7.402666666666667,7.914666666666666,0.5119999999999996,Bb,maj,0.7751866322847287
7.914666666666666,8.490666666666666,0.5759999999999996,Ebmaj7,maj7,0.7603345811367035
8.490666666666666,9.632,1.1413333333333338,Ab,maj,0.8785195619944652
9.632,10.197333333333333,0.5653333333333332,Abmaj7,maj7,0.8344815373420715
10.197333333333333,10.730666666666666,0.5333333333333332,Fm7,min7,0.7640436589717865
10.730666666666666,11.264,0.5333333333333332,F7,dom7,0.721263762563467
11.264,11.861333333333333,0.5973333333333333,Eb,maj,0.7648060411290855
11.861333333333333,12.405333333333333,0.5440000000000005,F7,dom7,0.7614386044442654
12.405333333333333,12.981333333333334,0.5760000000000005,Fmaj7,maj7,0.7230334058403969
12.981333333333334,14.08,1.0986666666666665,Eb,maj,0.8013144411443225
14.08,14.741333333333333,0.6613333333333333,Gm7b5,hdim7,0.7039026170969009
14.741333333333333,15.317333333333334,0.5760000000000005,Fmaj7,maj7,0.6753625050187111
15.317333333333334,15.893333333333333,0.5759999999999987,Ebmaj7,maj7,0.8574337065219879
15.893333333333333,16.416,0.5226666666666677,Eb,maj,0.9234737173712979
16.416,16.88533333333333,0.4693333333333314,F7,dom7,0.7394228130578995
16.88533333333333,17.44,0.5546666666666695,Ebmaj7,maj7,0.7349714636802673
17.44,18.581333333333333,1.141333333333332,Cm7,min7,0.7363331448286772
18.581333333333333,19.232,0.6506666666666661,Fmaj7,maj7,0.7124392166733742
19.232,19.754666666666665,0.522666666666666,Dm7,min7,0.7075822129845619
19.754666666666665,21.365333333333332,1.610666666666667,G,maj,0.7488455532269818
21.365333333333332,21.941333333333333,0.5760000000000005,Gmaj7,maj7,0.6949710212647915
21.941333333333333,23.722666666666665,1.7813333333333325,G7,dom7,0.789312777419885
23.722666666666665,24.298666666666666,0.5760000000000005,Gm7,min7,0.8447138369083405
24.298666666666666,25.92,1.621333333333336,Cm,min,0.7884226506883274
25.92,26.421333333333333,0.5013333333333314,Cm7,min7,0.8378370106220245
26.421333333333333,28.085333333333335,1.6640000000000015,Bb,maj,0.7663824866918686
28.085333333333335,28.661333333333335,0.5760000000000005,Gm7,min7,0.743514820933342
28.661333333333335,30.890666666666668,2.229333333333333,Abmaj7,maj7,0.8293784912675619
30.890666666666668,32.010666666666665,1.1199999999999974,Dm7b5,hdim7,0.8383761718869209
32.010666666666665,32.576,0.565333333333335,Dm7,min7,0.7528036013245583
32.576,33.13066666666667,0.5546666666666695,Dm7b5,hdim7,0.7400620058178902
33.13066666666667,33.70666666666666,0.5759999999999934,Cm,min,0.7669933719296117
33.70666666666666,34.848,1.1413333333333355,Eb,maj,0.7578679194365776
34.848,35.38133333333333,0.5333333333333314,Gm7,min7,0.7472159788012505
35.38133333333333,35.925333333333334,0.544000000000004,Dm,min,0.707745086146155
35.925333333333334,37.034666666666666,1.109333333333332,F7,dom7,0.716783307492733
37.034666666666666,37.62133333333333,0.586666666666666,Fmaj7,maj7,0.7052504792809486
37.62133333333333,38.76266666666667,1.1413333333333355,Bb,maj,0.7334602182907366
38.76266666666667,39.85066666666667,1.088000000000001,Fm7,min7,0.8248227834701538
39.85066666666667,41.00266666666667,1.152000000000001,G7,dom7,0.7591525437310338
41.00266666666667,41.55733333333333,0.5546666666666624,Fm7b5,hdim7,0.7164022848010063
41.55733333333333,42.101333333333336,0.544000000000004,Dm7,min7,0.7508918717503548
42.101333333333336,43.221333333333334,1.1199999999999974,Cm,min,0.8372330882227778
43.221333333333334,44.34133333333333,1.1199999999999974,Cm7,min7,0.8077011965215206
44.34133333333333,44.885333333333335,0.544000000000004,Eb,maj,0.7944284569305365
44.885333333333335,45.44,0.5546666666666624,Cm7,min7,0.7839905470609665
45.44,45.99466666666667,0.5546666666666695,Gm7b5,hdim7,0.770739272236824
45.99466666666667,46.57066666666667,0.5760000000000005,Gmaj7,maj7,0.7325227335095406
46.57066666666667,47.712,1.1413333333333355,F#m,min,0.7995999459362718
47.712,48.288,0.5759999999999934,Ab7,dom7,0.8111337423324585
48.288,48.821333333333335,0.5333333333333385,F#maj7,maj7,0.7436981648206711
48.821333333333335,49.93066666666667,1.109333333333332,G7,dom7,0.7672305330634117
49.93066666666667,50.51733333333333,0.586666666666666,Abmaj7,maj7,0.7181315794587135
50.51733333333333,51.06133333333333,0.5439999999999969,Eb,maj,0.7617558663498121
51.06133333333333,52.74666666666667,1.6853333333333396,Cm,min,0.7130901301599208
52.74666666666667,53.845333333333336,1.0986666666666665,Cm7,min7,0.8316064029932022
53.845333333333336,54.976,1.130666666666663,Abmaj7,maj7,0.8116146475076675
54.976,55.541333333333334,0.565333333333335,Fm7,min7,0.7419748604297638
55.541333333333334,56.672,1.130666666666663,F,maj,0.8217763787177867
56.672,57.22666666666667,0.5546666666666695,Am,min,0.661956696697013
57.22666666666667,57.77066666666666,0.5439999999999969,Am7b5,hdim7,0.710990272462368
57.77066666666666,58.86933333333333,1.0986666666666665,Dbmaj7,maj7,0.7723116558045149
58.86933333333333,59.413333333333334,0.544000000000004,Cm7,min7,0.6910957396030426
59.413333333333334,59.97866666666667,0.565333333333335,Gm,min,0.7189350825694226
59.97866666666667,60.544,0.5653333333333279,Ebmaj7,maj7,0.8110407888889313
60.544,61.653333333333336,1.109333333333339,Eb,maj,0.8490750472455703
61.653333333333336,62.208,0.5546666666666624,Ebmaj7,maj7,0.7557979002594948
62.208,62.784,0.5760000000000005,Cm7,min7,0.677774578332901
62.784,63.349333333333334,0.565333333333335,Bb,maj,0.708786734512348
