onset,offset,duration,chord,quality,confidence
3.6919727891156464,4.156371882086168,0.4643990929705213,Ebmaj7,maj7,0.8335219100117683
4.156371882086168,4.6788208616780045,0.5224489795918368,G,maj,0.7909249026716757
4.6788208616780045,5.189659863945578,0.5108390022675735,Abmaj7,maj7,0.7001214027404785
5.189659863945578,5.7004988662131515,0.5108390022675735,Am7b5,hdim7,0.7659202665090561
5.7004988662131515,6.211337868480726,0.5108390022675744,Amaj7,maj7,0.732805859297514
6.211337868480726,8.649433106575964,2.4380952380952383,Am7b5,hdim7,0.7921560376882553
8.649433106575964,9.694331065759638,1.0448979591836736,Fm,min,0.7805363621690024
9.694331065759638,10.147120181405896,0.452789115646258,Dm7b5,hdim7,0.7989610731601715
10.147120181405896,11.679637188208616,1.5325170068027205,G7,dom7,0.8024237031737963
11.679637188208616,12.132426303854876,0.4527891156462598,G,maj,0.8143721899920846
12.132426303854876,12.60843537414966,0.47600907029478456,Em7,min7,0.7312494516372681
12.60843537414966,13.154104308390023,0.5456689342403624,Dm7b5,hdim7,0.7209174335002899
13.154104308390023,15.197460317460317,2.043356009070294,Abmaj7,maj7,0.776627647690475
15.197460317460317,16.207528344671204,1.0100680272108864,N,N,0.622918031459023
16.207528344671204,16.69514739229025,0.4876190476190452,Ebmaj7,maj7,0.7472648620605469
16.69514739229025,17.205986394557822,0.5108390022675735,Dbmaj7,maj7,0.7667583599686623
17.205986394557822,17.716825396825396,0.5108390022675735,Am7b5,hdim7,0.7264624759554863
17.716825396825396,20.654149659863947,2.937324263038551,Ebmaj7,maj7,0.8339715643475453
20.654149659863947,21.176598639455783,0.5224489795918359,Bbmaj7,maj7,0.7767669633030891
21.176598639455783,22.19827664399093,1.021678004535147,Dm,min,0.7977706583717032
22.19827664399093,23.196734693877552,0.9984580498866222,A7,dom7,0.7350326664745808
23.196734693877552,23.695963718820863,0.4992290249433111,Bbmaj7,maj7,0.7285708412528038
23.695963718820863,24.206802721088437,0.5108390022675735,Ebmaj7,maj7,0.763998232781887
24.206802721088437,24.729251700680273,0.5224489795918359,Bb7,dom7,0.6962892264127731
24.729251700680273,25.228480725623584,0.4992290249433111,Fm7,min7,0.8390840291976929
25.228480725623584,26.16888888888889,0.9404081632653067,Dm7b5,hdim7,0.8338731154799461
