onset,offset,duration,chord,quality,confidence
0.16,0.512,0.352,N,N,0.6471392810344696
0.512,0.928,0.41600000000000004,Bbm7,min7,0.674767155200243
0.928,1.3653333333333333,0.43733333333333324,Abmaj7,maj7,0.663931418210268
1.3653333333333333,1.792,0.42666666666666675,Amaj7,maj7,0.7059609666466713
1.792,2.2186666666666666,0.4266666666666665,Abm7b5,hdim7,0.7113933488726616
2.2186666666666666,2.6453333333333333,0.42666666666666675,Abmaj7,maj7,0.7208414673805237
2.6453333333333333,3.072,0.42666666666666675,E,maj,0.8021714736686121
3.072,3.509333333333333,0.43733333333333313,Cmaj7,maj7,0.6925979070365429
3.509333333333333,3.936,0.42666666666666675,C,maj,0.7390066332162804
3.936,4.373333333333333,0.43733333333333313,Abmaj7,maj7,0.7146844007074833
4.373333333333333,4.8,0.42666666666666675,Bbm7,min7,0.7041505873203278
4.8,5.226666666666667,0.42666666666666675,Gmaj7,maj7,0.7710392773151398
5.226666666666667,5.653333333333333,0.42666666666666675,Abmaj7,maj7,0.7400624416768551
5.653333333333333,6.08,0.42666666666666675,N,N,0.6450895071029663
6.08,6.517333333333333,0.43733333333333313,Abmaj7,maj7,0.7004407271742821
6.517333333333333,6.944,0.42666666666666675,Dmaj7,maj7,0.6677936241030693
6.944,7.370666666666667,0.42666666666666675,Cmaj7,maj7,0.8166161924600601
7.370666666666667,7.7973333333333334,0.42666666666666675,E,maj,0.6942408575767253
7.7973333333333334,8.234666666666667,0.437333333333334,Em,min,0.7349735698545969
8.234666666666667,8.661333333333333,0.42666666666666586,Abmaj7,maj7,0.6736830063164234
8.661333333333333,9.098666666666666,0.43733333333333313,Dmaj7,maj7,0.7167461961507797
9.098666666666666,9.525333333333334,0.42666666666666764,Bmaj7,maj7,0.6881448403000832
9.525333333333334,9.952,0.42666666666666586,Fmaj7,maj7,0.7123262584209442
9.952,10.389333333333333,0.43733333333333313,Dbm7b5,hdim7,0.738384447991848
10.389333333333333,10.816,0.42666666666666764,Amaj7,maj7,0.7011710181832314
10.816,12.106666666666667,1.2906666666666666,Abmaj7,maj7,0.775301605463028
12.106666666666667,12.970666666666666,0.863999999999999,Dbmaj7,maj7,0.7236751019954681
12.970666666666666,13.408,0.43733333333333313,Dm7b5,hdim7,0.7094415910542011
13.408,13.845333333333333,0.43733333333333313,Am7,min7,0.6533785089850426
13.845333333333333,14.272,0.42666666666666764,Amaj7,maj7,0.7292603477835655
14.272,14.698666666666666,0.42666666666666586,Dm7b5,hdim7,0.663938857614994
14.698666666666666,15.136,0.43733333333333313,Abmaj7,maj7,0.6832637339830399
15.136,15.562666666666667,0.42666666666666764,Amaj7,maj7,0.7359711602330208
15.562666666666667,16.0,0.43733333333333313,Fm7,min7,0.7277106791734695
16.0,16.426666666666666,0.42666666666666586,Cm7,min7,0.6644954979419708
16.426666666666666,16.864,0.4373333333333349,Ab,maj,0.7074927373938965
16.864,17.290666666666667,0.42666666666666586,Dbmaj7,maj7,0.6958063021302223
17.290666666666667,17.728,0.4373333333333349,Amaj7,maj7,0.6963980942964554
17.728,18.154666666666667,0.42666666666666586,Bbm7,min7,0.6703490801155567
18.154666666666667,18.592,0.43733333333333135,Am7b5,hdim7,0.750047005712986
18.592,19.018666666666668,0.4266666666666694,Gmaj7,maj7,0.7398722693324089
19.018666666666668,19.445333333333334,0.42666666666666586,Dmaj7,maj7,0.795316755771637
19.445333333333334,20.309333333333335,0.8640000000000008,Abmaj7,maj7,0.7301501855254173
20.309333333333335,20.736,0.42666666666666586,C7,dom7,0.6907816678285599
20.736,21.589333333333332,0.8533333333333317,Abmaj7,maj7,0.7600700277835131
21.589333333333332,22.016,0.42666666666666586,Gmaj7,maj7,0.7332946881651878
22.016,22.453333333333333,0.4373333333333349,Bmaj7,maj7,0.7160929553210735
22.453333333333333,23.317333333333334,0.8640000000000008,Emaj7,maj7,0.7452623937278986
23.317333333333334,23.744,0.42666666666666586,Dbmaj7,maj7,0.736733190715313
23.744,24.170666666666666,0.42666666666666586,Abmaj7,maj7,0.6850282996892929
24.170666666666666,24.618666666666666,0.4480000000000004,Am7,min7,0.6785941049456596
24.618666666666666,25.909333333333333,1.2906666666666666,Abmaj7,maj7,0.7433240314324697
25.909333333333333,26.346666666666668,0.4373333333333349,Dbmaj7,maj7,0.7785522118210793
26.346666666666668,26.784,0.43733333333333135,Gm7b5,hdim7,0.7064364366233349
26.784,27.221333333333334,0.4373333333333349,Db7,dom7,0.672623872756958
27.221333333333334,27.658666666666665,0.43733333333333135,Fm7b5,hdim7,0.7022545635700226
27.658666666666665,28.096,0.4373333333333349,Dbmaj7,maj7,0.7775676101446152
28.096,28.533333333333335,0.4373333333333349,Ebmaj7,maj7,0.6758915893733501
28.533333333333335,29.408,0.8746666666666663,Fmaj7,maj7,0.7322235703468323
29.408,29.845333333333333,0.43733333333333135,Db,maj,0.7350943500309557
