onset,offset,duration,chord,quality,confidence
0.48,0.9386666666666666,0.45866666666666667,Dbmaj7,maj7,0.7100886479020119
0.9386666666666666,1.408,0.46933333333333327,Ebmaj7,maj7,0.8229201883077621
1.408,3.978666666666667,2.570666666666667,Eb,maj,0.7328711812110086
3.978666666666667,4.416,0.4373333333333336,Ebmaj7,maj7,0.8527938276529312
4.416,5.301333333333333,0.8853333333333326,Gm7b5,hdim7,0.7630522400140762
5.301333333333333,5.749333333333333,0.4480000000000004,C,maj,0.7927802019794752
5.749333333333333,6.197333333333333,0.4479999999999995,Cm,min,0.7127779261510926
6.197333333333333,6.645333333333333,0.4480000000000004,F#,maj,0.8190402375589596
6.645333333333333,7.093333333333334,0.4480000000000004,Ebm,min,0.7900802845497285
7.093333333333334,7.552,0.4586666666666659,Ebm7,min7,0.7921214923262596
7.552,8.0,0.4480000000000004,Gm7b5,hdim7,0.715065062046051
8.0,8.885333333333334,0.8853333333333335,Fm,min,0.8043972048051435
8.885333333333334,9.802666666666667,0.9173333333333336,Fm7,min7,0.7767025381326675
9.802666666666667,10.272,0.46933333333333316,N,N,0.6445446112832185
10.272,10.730666666666666,0.4586666666666659,Cm,min,0.6938561272471666
10.730666666666666,11.189333333333334,0.45866666666666767,Gmaj7,maj7,0.6662697531282902
11.189333333333334,11.658666666666667,0.46933333333333316,Ab,maj,0.7147474371001237
11.658666666666667,13.024,1.3653333333333322,Abm7,min7,0.853982056180636
13.024,13.472,0.4480000000000004,F,maj,0.7195095132258357
13.472,14.389333333333333,0.9173333333333336,Eb7,dom7,0.7548864278942347
14.389333333333333,15.328,0.9386666666666663,Dbmaj7,maj7,0.7565098144114017
15.328,16.234666666666666,0.9066666666666663,Eb,maj,0.8084450742558299
16.234666666666666,16.672,0.4373333333333349,Gm7,min7,0.7469849362969398
16.672,17.621333333333332,0.9493333333333318,Cmaj7,maj7,0.7289809817448258
17.621333333333332,18.069333333333333,0.4480000000000004,C,maj,0.7900240627068262
18.069333333333333,18.997333333333334,0.9280000000000008,Cm,min,0.7419000019634716
18.997333333333334,19.466666666666665,0.4693333333333314,Fm,min,0.7976193196665016
19.466666666666665,20.384,0.9173333333333353,Fm7,min7,0.8667620159685612
20.384,22.293333333333333,1.9093333333333327,Bb7,dom7,0.755041672848165
22.293333333333333,22.752,0.4586666666666659,D,maj,0.6635256603527248
22.752,23.21066666666667,0.45866666666666944,Gm7,min7,0.870345339179039
23.21066666666667,23.669333333333334,0.4586666666666659,N,N,0.6365622766315937
23.669333333333334,24.138666666666666,0.4693333333333314,G,maj,0.7290360872750832
24.138666666666666,24.608,0.46933333333333493,Gmaj7,maj7,0.6687007360160351
24.608,26.432,1.823999999999998,F#maj7,maj7,0.6937270909547806
26.432,27.349333333333334,0.9173333333333353,Fm,min,0.6926565092675214
27.349333333333334,27.797333333333334,0.4480000000000004,Bb,maj,0.8094544606616736
27.797333333333334,28.245333333333335,0.4480000000000004,Bbm7,min7,0.8043536394834518
28.245333333333335,28.714666666666666,0.4693333333333314,Bbm,min,0.764002606474923
28.714666666666666,29.152,0.4373333333333349,Bb7,dom7,0.7918652296066284
29.152,29.621333333333332,0.4693333333333314,Bbm7b5,hdim7,0.7355215921998024
29.621333333333332,30.112,0.4906666666666659,Em7b5,hdim7,0.7822368517518044
30.112,31.488,1.3760000000000012,Ebmaj7,maj7,0.729943418254455
31.488,31.957333333333334,0.46933333333333493,Eb,maj,0.6876016472484492
31.957333333333334,32.42666666666667,0.46933333333333493,Ebmaj7,maj7,0.6779887452721596
32.42666666666667,32.906666666666666,0.4799999999999969,Eb,maj,0.6570431463658657
32.906666666666666,33.397333333333336,0.49066666666666947,Fm7,min7,0.7623030915856361
33.397333333333336,34.90133333333333,1.5039999999999978,Gm,min,0.7995964874541223
34.90133333333333,35.349333333333334,0.4480000000000004,Ebmaj7,maj7,0.7302151806652546
35.349333333333334,35.818666666666665,0.4693333333333314,Abmaj7,maj7,0.7283991649746895
35.818666666666665,37.248,1.4293333333333322,Ab,maj,0.7708277474992197
37.248,37.728,0.480000000000004,C,maj,0.8212509647331312
37.728,38.208,0.4799999999999969,Fm7,min7,0.7952590137720108
38.208,39.168,0.9600000000000009,Fm,min,0.8284810120000567
39.168,39.63733333333333,0.4693333333333314,Ab7,dom7,0.6747114509344101
39.63733333333333,40.138666666666666,0.501333333333335,Abmaj7,maj7,0.6721093207597733
40.138666666666666,40.61866666666667,0.480000000000004,Fm,min,0.826498187615388
40.61866666666667,41.088,0.4693333333333314,Fm7,min7,0.869018018245697
41.088,42.08,0.9919999999999973,Abmaj7,maj7,0.8177518472075462
42.08,42.54933333333334,0.4693333333333385,G,maj,0.7016664467361258
42.54933333333334,43.01866666666667,0.4693333333333314,Fm,min,0.66786119894986
43.01866666666667,44.0,0.9813333333333318,Dbmaj7,maj7,0.7760690040886402
44.0,45.44,1.4399999999999977,Eb7,dom7,0.7508916531999906
45.44,46.4,0.9600000000000009,N,N,0.6334781168703643
46.4,46.86933333333333,0.4693333333333314,Gm,min,0.6779237603035683
46.86933333333333,47.36,0.49066666666666947,Gm7,min7,0.8400461599230766
47.36,47.85066666666667,0.49066666666666947,Cmaj7,maj7,0.678386889398098
47.85066666666667,48.309333333333335,0.4586666666666659,N,N,0.6359247080104541
48.309333333333335,48.8,0.49066666666666237,Cm,min,0.8202739714862757
48.8,49.30133333333333,0.501333333333335,Emaj7,maj7,0.6942504923790693
49.30133333333333,50.77333333333333,1.4720000000000013,Fm,min,0.8114994875397609
50.77333333333333,51.264,0.49066666666666947,Dbmaj7,maj7,0.7372039891779423
51.264,51.744,0.4799999999999969,Gm,min,0.7453230862900316
51.744,52.224,0.4799999999999969,Bb,maj,0.7515013420304302
52.224,53.184,0.9600000000000009,Bb7,dom7,0.7905275337398052
53.184,54.624,1.4400000000000048,Gm7b5,hdim7,0.8130744323134422
54.624,55.53066666666667,0.9066666666666663,Bbm,min,0.9458648857608984
55.53066666666667,56.0,0.4693333333333314,Bb,maj,0.8463191101478728
56.0,56.48,0.4799999999999969,Gm7b5,hdim7,0.7844985723495483
56.48,56.96,0.480000000000004,Gm,min,0.7317180304913208
56.96,58.368,1.4080000000000013,C7,dom7,0.6895992327481508
58.368,59.296,0.9279999999999973,Dbmaj7,maj7,0.7503815358504653
59.296,59.76533333333333,0.4693333333333314,N,N,0.6367992497980595
59.76533333333333,60.256,0.49066666666666947,Cm,min,0.7610409585148483
60.256,60.714666666666666,0.4586666666666659,N,N,0.6256910711526871
60.714666666666666,62.13333333333333,1.4186666666666667,Fm,min,0.78005342929987
62.13333333333333,62.624,0.49066666666666947,Db,maj,0.8043257381105775
62.624,63.584,0.9600000000000009,Fm,min,0.7174170971126574
63.584,64.096,0.5120000000000005,Fm7,min7,0.7991010621190071
64.096,64.58666666666667,0.49066666666666947,Cm7,min7,0.8438880667090416
64.58666666666667,65.07733333333333,0.49066666666665526,Gm,min,0.7961647956365411
65.07733333333333,65.54666666666667,0.4693333333333385,F#maj7,maj7,0.8238149173557758
65.54666666666667,66.00533333333334,0.458666666666673,Bb,maj,0.8189784752620668
66.00533333333334,66.45333333333333,0.4479999999999933,Gm,min,0.8036172998740624
66.45333333333333,66.92266666666667,0.4693333333333385,Bb,maj,0.7342621162001879
66.92266666666667,67.38133333333333,0.4586666666666588,Abm7b5,hdim7,0.8198663890361786
67.38133333333333,67.84,0.458666666666673,Abmaj7,maj7,0.7631183490157127
67.84,68.32,0.47999999999998977,Bmaj7,maj7,0.7049792483448982
68.32,69.78133333333334,1.461333333333343,Gm7,min7,0.8091028816998005
69.78133333333334,70.25066666666666,0.4693333333333243,Bb,maj,0.833338355543883
70.25066666666666,71.68,1.4293333333333464,Gm7,min7,0.7841935195028782
71.68,72.13866666666667,0.4586666666666588,Gm,min,0.7888340007198366
72.13866666666667,72.62933333333334,0.49066666666666947,C7,dom7,0.6715235877782106
72.62933333333334,73.09866666666667,0.4693333333333385,Cm7,min7,0.6940884701907635
